instruction_id,source_metric_id,source_semantic_signature,target_sheet,target_cell,target_semantic_signature,expected_value_type,template_fingerprint_id,policy_version,match_status
wi:00170a112286f2273a2a,LEGACY::REMASEP_OD::AC52,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: 5004020 - CONTROL ORTODONCIA QUIRURGICO :: ORTODONCIA PRE-QUIRURGICA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 25-34 ANOS :: MUJERES,REMASEP_OD,AB69,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: ORTODONCIA PRE-QUIRURGICA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 25-34 ANOS :: MUJERES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:00262d328e88dcfa7cf1,LEGACY::REMASEP_OD::AG46,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: 5010009 - VIDRIO IONOMERO :: OBTURACION DIRECTA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 45-59 ANOS :: MUJERES,REMASEP_OD,AF63,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: OBTURACION DIRECTA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 45-59 ANOS :: MUJERES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:0051a9950b4919be12ba,LEGACY::REMASEP_OD::AB46,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: 5010009 - VIDRIO IONOMERO :: OBTURACION DIRECTA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 25-34 ANOS :: HOMBRES,REMASEP_OD,AA63,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: OBTURACION DIRECTA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 25-34 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:008dfa45dae134748508,LEGACY::REMASEP_OD::AA54,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: CONTROLES ORTODONCIA :: ORTODONCIA PREVENTIVA E INTERCEPTIVA (OPI) :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 20-24 ANOS :: MUJERES,REMASEP_OD,Z71,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: ORTODONCIA PREVENTIVA E INTERCEPTIVA (OPI) :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 20-24 ANOS :: MUJERES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:00a4bd2ee2668dd9e28c,LEGACY::REMASEP_OD::L8,REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.1. CONSULTAS Y ALTAS :: EVALUACION ODONTOLOGIA GENERAL :: PRIMERAS CONSULTAS (ANO) DE ODONTOLOGIA ESPECIALIDADES :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 4 ANOS :: HOMBRES,REMASEP_OD,K17,REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.1. CONSULTAS Y ALTAS :: PRIMERAS CONSULTAS (ANO) DE ODONTOLOGIA ESPECIALIDADES :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 4 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:00aab54517c24d1e515f,LEGACY::REMASEP_01::AL89,REMASEP 01 :: SECCION C: ATENCIONES Y CONSULTAS POR OTROS PROFESIONALES NO MEDICOS :: FONO :: FONOAUDIOLOGO/A :: CONSULTAS FONOAUDIOLOGO/A :: POR EDAD (EN ANOS) :: 75 - 79 ANOS :: MUJERES,REMASEP 01,AK118,REMASEP 01 :: SECCION C: ATENCIONES Y CONSULTAS POR OTROS PROFESIONALES NO MEDICOS :: FONOAUDIOLOGO/A :: CONSULTAS FONOAUDIOLOGO/A :: POR EDAD (EN ANOS) :: 75 - 79 ANOS :: MUJERES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:00d9e9c641d14a751de5,LEGACY::REMASEP_OD::J52,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: 5004020 - CONTROL ORTODONCIA QUIRURGICO :: ORTODONCIA PRE-QUIRURGICA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 3 ANOS :: HOMBRES,REMASEP_OD,I69,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: ORTODONCIA PRE-QUIRURGICA :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 3 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:0138562d7beb3498154b,LEGACY::REMASEP_OD::G73,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: INSTALACION CORONA DEFINITIVA SOBRE IMPLANTE :: REHABILITACION MEDIANTE PROTESIS FIJA IMPLANTOASISTIDA (UNITARIA Y PLURAL) :: SEGUN GRUPOS DE EDAD O DE RIESGO :: MENOS DE 1 ANO - 1 ANO :: MUJERES,REMASEP_OD,F90,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: REHABILITACION MEDIANTE PROTESIS FIJA IMPLANTOASISTIDA (UNITARIA Y PLURAL) :: SEGUN GRUPOS DE EDAD O DE RIESGO :: MENOS DE 1 ANO - 1 ANO :: MUJERES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:016e451f73307aef8c3b,LEGACY::REMASEP_OD::V17,REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.3. ACCIONES GENERALES DE PREVENCION E HIGIENE :: 5001016 - FLUOR :: FLUORACION TOPICA DE BARNIZ :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 10-14 ANOS :: HOMBRES,REMASEP_OD,U34,REMASEP_OD :: SECCION A: CONSULTAS Y CONTROLES ODONTOLOGICOS REALIZADOS :: A.3. ACCIONES GENERALES DE PREVENCION E HIGIENE :: FLUORACION TOPICA DE BARNIZ :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 10-14 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
wi:01bb847c919f82196be7,LEGACY::REMASEP_OD::X48,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: INSTALACION APARATO REMOVIBLE :: INSTALACION APARATO REMOVIBLE ORTODONCICO :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 15-19 ANOS :: HOMBRES,REMASEP_OD,W65,REMASEP_OD :: SECCION B: ACTIVIDADES DE ATENCION EN ESPECIALIDADES ODONTOLOGICAS. :: INSTALACION APARATO REMOVIBLE ORTODONCICO :: SEGUN GRUPOS DE EDAD O DE RIESGO :: 15-19 ANOS :: HOMBRES,INTEGER_COUNT,stf:dc624775927d4d4d,writable_target_mapping_2026,EXACT_SEMANTIC_MATCH
